  0 TAO,  Function value: 5.38929,  Residual: 1.91701 
  1 TAO,  Function value: 5.32779,  Residual: 1.6567 
  2 TAO,  Function value: 5.04021,  Residual: 0.478759 
  3 TAO,  Function value: 5.00416,  Residual: 0.141435 
  4 TAO,  Function value: 5.00016,  Residual: 0.0254292 
  5 TAO,  Function value: 5.,  Residual: 0.00276195 
  6 TAO,  Function value: 5.,  Residual: 0.000101881 
  7 TAO,  Function value: 5.,  Residual: 6.28021e-06 
  8 TAO,  Function value: 5.,  Residual: 3.67262e-07 
  9 TAO,  Function value: 5.,  Residual: 5.60504e-09 
